CODIGO	Aceros
10001	CHATARRA DE ACERO
10003	CHATARRA DE ACERO LIMAYA
10004	CHATARRA DE ACERO 201
10005	CHATARRA DE ACERO 316
10007	CHATARRA DE ACERO ESPECIAL
10013	CHATARRA DE ACERO VOLUMINOSO
10020	CHATARRA DE ACERO ALLOYB X
10021	CHATARRA DE ACERO ALLOY 825
10023	CHATARRA DE ACERO NITRONIC 50
10024	CHATARRA DE ACERO ALLOY 718
10025	CHATARRA DE ACERO ALLOY 800
10029	CHATARRA DE ACERO ALLOY 400
10034	CHATARRA DE ACERO NI-200
10035	CHATARRA DE ACERO ALLOYD 738
10045	CHATARRA DE FILTRO DE ACERO
10050	CHATARRA DE ACERO ALLOYD 617 CON ZIRCONIO
10055	CHATARRA DE ACERO ALLOYD X CON ZIRCONIO
10057	CHATARRA DE ACERO ESPECIAL NI RESIST

CODIGO	Aluminios
11002	CHATARRA DE ALUMINIO OLLA
11027	CHATARRA ALUMINIO OLLA PRESION
11003	CHATARRA DE ALUMINIO PERFIL
11037	CHATARRA DE ALUMINIO PERFIL SUCIO
11045	CHATARRA ALUMINIO PERFIL PINTADO
11034	CHATARRA DE ALUMINIO PERFIL PICADILLO
11035	CHATARRA DE ALUMINIO (E) 6061
11004	CHATARRA DE ALUMINIO BLANDO
11033	CHATARRA DE ALUMINIO BLANDO VOLUMEN
11005	CHATARRA DE ALUMINIO GRUESO
11024	CHATARRA DE ALUMINIO GRUESO TIPO 2
11028	CHATARRA DE ALUMINIO GRUESO TIPO 3
11032	CHATARRA DE ALUMINIO GRUESO VOLUMEN
11006	CHATARRA DE RADIADOR DE ALUMINIO
11031	CHATARRA DE RADIADOR DE ALUMINIO SUCIO
11007	CHATARRA DE ALUMINIO POTE SALCHICHA
11008	CHATARRA DE POTE PERFUMERO
11010	CHATARRA DE ALUMINIO LITOGRAFICO
11011	CHATARRA DE ALUMINIO ALAMBRON
11016	CHATARRA DE ALUMINIO RIN
11017	CHATARRA DE ALUMINIO REVUELTO
11019	CHATARRA DE ALUMINIO RIN BICICLETA
11026	CHATARRA DE ALUMINIO RIN CAMION
11040	CHATARRA GUAYA DE ALUMINIO ENCAUCHETADA
11043	CHATARRA DE ALUMINIO RIN AUTO CON VALVULAS
28001	CHATARRA DE ZINC

CODIGO	POTE
11001	CHATARRA DE ALUMINIO POTE
11046	POTE BRIQUETEADO

CODIGO	BRONCE
13001	CHATARRA DE BRONCE
13002	BRONCE LATON 70/30 - 2
13003	BRONCE FOSFORADO
13005	CHATARRA DE BRONCE 70/30
13009	CHATARRA DE BRONCE SUCIO
13012	CHATARRA DE BRONCE TIPO 2
13013	CHATARRA DE BRONCE 80/20
13014	CHATARRA DE BRONCE 90/10
17001	CHATARRA DE LIMAYA DE BRONCE
22001	BRONCE SUCIO
24001	CHATARRA DE CUPRONIQUEL
24003	CHATARRA DE CUPRONIQUEL 90/10
24002	CHATARRA DE CUPRONIQUEL 70/30

CODIGO	Cobre
15001	CHATARRA DE COBRE No 1
15002	CHATARRA DE COBRE BRILLANTE
15003	CHATARRA DE COBRE No. 2
15004	CHATARRA DE COBRE ENCAUCHETADO
15027	CHATARRA DE COBRE 1C
15048	CHATARRA CABLE DE COBRE EMPALMES
15065	CHATARRA CABLE DE PLOMO LIMPIO
15066	CHATARRA CABLE DE COBRE CON CUBIERTA DE PAPEL 0.4
15076	CHATARRA DE COBRE MULTICOLOR SECO
15079	CHATARRA DE COBRE TELEFONICA
15096	CHATARRA DE CABLE DE COBRE AISLADO
15114	CHATARRA DE INTERCOOLER DE HIERRO CON COBRE
15116	CHATARRA DE TUBERIA Y VALVULA DE COBRA 
15117	CHATARRA DE COBRE SUCIO
15118	CHATARRA DE COBRE VARIADO
15119	CHATARRA DE CABLES DE COBRE 
15123	CHATARRA DE GUAYA DE COBRE 
15124	CHATARRA DE TUBERIA DE COBRE 

CODIGO	Radiadores de Cobre
19001	CHATARRA DE RADIADOR DE COBRE
19003	CHATARRA DE RADIADOR DE COBRE SUCIO
261062	CHATARRA DE INTERCOOLER

CODIGO	Radiadores Mixtos
19002	CHATARRA DE RADIADOR MIXTO
19004	CHATARRA DE RADIADOR MIXTO SUCIO

CODIGO	SCRAP
18001	DESP. Y DESEC. DE PLOMO CASCARA
18004	DESP. Y DESEC. DE SCRAP DE MOTO
18005	DESP. Y DESEC. DE SCRAP LIMPIO
18007	DESP. Y DESEC. DE PLOMO BALANCIN
18009	SCRAP SECO PEQUEÑO
18010	SCRAP SECO GRANDE

CODIGO	BATERIAS
14001	DESPERDICIO DE BATERIA No. 7
14002	DESPERDICIO DE BATERIA No. 8
14003	DESPERDICIO DE BATERIA No. 1
14004	DESPERDICIO DE BATERIA No. 2
14005	DESPERDICIO DE BATERIA No. 3
